Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Running","2021-01-15 16:02","2021-01-15 17:02","1:00:11","11,881232891852967","153,00648143642738","160,86912006763924","0:05:03","11,844463724987628",,"807,191","919,5689999999998","122,44",,"0,999999973509091","78"
"Outdoor Running","2021-01-13 13:28","2021-01-13 14:39","1:10:38","12,898372632516548","157,04836152089663","163,6359309018783","0:05:28","10,954166590721778",,"969,1359999999999","1079,2249999999997","283,42",,"2,9999999205271592","78"
"Traditional Strength Training","2021-01-12 20:13","2021-01-12 20:42","0:29:21",,"95,22957130416493","99,17723261560187",,,,"127,1560000000001","192,24400000000009",,,"1,9999999470181251","89"
"Outdoor Running","2021-01-10 12:38","2021-01-10 13:19","0:40:38","8,939768940063193","162,0123352559695","168,7375361023664","0:04:32","13,197375457537301",,"572,4399999999999","656,0609999999998","29,86",,"1,9999999470181251","70"
"Outdoor Running","2021-01-08 14:11","2021-01-08 15:21","1:09:53","13,152798590734307","150,8003099536665","158,2118589416905","0:05:18","11,290825244144338",,"991,6759999999999","1119,6429999999998","276,24",,"1,9999999470181251","88"
"Outdoor Running","2021-01-06 13:10","2021-01-06 14:16","1:05:55","13,175589275953458","163,24989120830554","169,1435198964036","0:05:00","11,990595212507776",,"966,5360000000002","1090,563","277,34000000000003",,"2,9999999205271592","88"
"Outdoor Running","2021-01-03 11:43","2021-01-03 13:11","1:27:09","16,479376257835888","161,91006589643632","170,77438923524772","0:05:17","11,345118292594035",,"1250,47","1405,4979999999998","366,45",,"2,9999999205271592","83"
"Traditional Strength Training","2021-01-02 21:48","2021-01-02 22:06","0:18:14",,"90,96963516998345","91,31679389312974",,,,"71,73300000000008","120,23900000000006",,,"0,999999973509091","82"
"Outdoor Running","2020-12-31 11:09","2020-12-31 12:18","1:08:40","13,038509928843938","159,15504272564317","165,2144271517588","0:05:16","11,392056832978755",,"959,886","1086,4669999999999","276,71",,"2,9999999205271592","81"
"Outdoor Running","2020-12-29 13:17","2020-12-29 14:14","0:57:18","10,687358514855411","149,68652559175547","156,65871109695567","0:05:21","11,189122134066432",,"710,1750000000001","816,81","72,10000000000001",,"1,9999999470181251","93"
"Outdoor Running","2020-12-26 15:35","2020-12-26 16:30","0:55:44","10,403122877379879","148,87731667346276","155,47433213719182","0:05:21","11,198997305891938",,"697,1860000000001","803,2330000000001","82,97",,"0,00000000000005684341886080802","90"
"Outdoor Running","2020-12-23 12:47","2020-12-23 13:48","1:01:27","11,873277837521396","157,26976875520742","163,58929437399877","0:05:10","11,590799587665964",,"800,74","916,4969999999998","118,57000000000001",,"12,999999655617671","93"
"Outdoor Running","2020-12-21 14:49","2020-12-21 15:54","1:04:55","11,273243064966053","156,31562392495096","164,4667621863792","0:05:45","10,417564642588777",,"819,532","941,1739999999999","166,99",,"7,999999788072387","91"
"Outdoor Running","2020-12-19 15:15","2020-12-19 16:25","1:10:31","13,120796508600936","85,47548758211549","93","0:05:22","11,161494025483334",,"960,3979999999999","1091,2209999999998","269,02",,"6,999999814563353","82"
"Outdoor Running","2020-12-15 15:34","2020-12-15 16:39","1:04:08","11,971122183654458","151,04149551342934","169,09292642982425","0:05:21","11,197060126828545",,"810,787","929,7729999999999","119,94",,"7,999999788072387","96"
"Outdoor Running","2020-12-13 12:36","2020-12-13 14:08","1:31:42","16,51132186616119","156,56280327506377","165,70099985462767","0:05:33","10,802508224726864",,"1221,5210000000004","1364,015","353,14",,"6,999999814563353","94"
